"","ssvid","imo","shipname","n_shipname"
"1","770576299","0","BANDURRIA","BANDURRIA"
"2","224470530",NA,"MARLIN","MARLIN"
"3","273333290","7700192","TORNADO           #?","TORNADO"
"4","792125572","0","ALBIMER","ALBIMER"
"5","345040017","9223801","HALCON","HALCON"
"6","293800000","8408466","INTREPIDO        &","INTREPIDO"
"7","770576191","0","HURACAN","HURACAN"
"8","590774592","9250323","ALERCE N","ALERCE"
"9","211597070","0","SALMON","SALMON"
"10","725010191","0","MERO","MERO"
"11","701000844","0","PUCARA","PUCARA"
"12","265635970","0","CAMINA","CAMINA"
"13","224973270",NA,"POLUX_","POLUX"
"14","316024866",NA,"ELENA S","ELENAS"
"15","725000193","0","BLANQUILLO","BLANQUILLO"
"16","319642000",NA,"GRINGO","GRINGO"
"17","725000834","0","CORPESCA 2","CORPESCA2"
"18","725000030","0","RELAMPAGO","RELAMPAGO"
"19","725000027","0","AUDAZ","AUDAZ"
"20","725000028","0","AVENTURERO","AVENTURERO"
"21","725065543","543653454","EPERVA 61","EPERVA61"
"22","701006201","0","SAN JORGE I  *","SANJORGEI"
